date,trends_bitcoin,trends_btc,trends_bitcoin_price,trends_mean
2025-01-12,49,20,15,28.0
2025-01-19,61,22,19,34.0
2025-01-26,46,18,14,26.0
2025-02-02,48,21,16,28.333333333333332
2025-02-09,34,14,11,19.666666666666668
2025-02-16,33,13,10,18.666666666666668
2025-02-23,52,21,16,29.666666666666668
2025-03-02,56,22,19,32.333333333333336
2025-03-09,48,19,17,28.0
2025-03-16,34,14,12,20.0
2025-03-23,33,14,10,19.0
2025-03-30,37,15,12,21.333333333333332
2025-04-06,45,20,15,26.666666666666668
2025-04-13,29,13,9,17.0
2025-04-20,35,15,11,20.333333333333332
2025-04-27,27,13,9,16.333333333333332
2025-05-04,32,16,10,19.333333333333332
2025-05-11,34,15,11,20.0
2025-05-18,43,19,13,25.0
2025-05-25,36,15,10,20.333333333333332
2025-06-01,31,13,9,17.666666666666668
2025-06-08,31,15,9,18.333333333333332
2025-06-15,29,13,9,17.0
2025-06-22,31,15,10,18.666666666666668
2025-06-29,28,13,9,16.666666666666668
2025-07-06,37,18,12,22.333333333333332
2025-07-13,47,22,16,28.333333333333332
2025-07-20,39,16,13,22.666666666666668
2025-07-27,41,16,15,24.0
2025-08-03,47,21,19,29.0
2025-08-10,71,32,32,45.0
2025-08-17,60,34,28,40.666666666666664
2025-08-24,50,25,22,32.333333333333336
2025-08-31,44,19,19,27.333333333333332
2025-09-07,41,17,16,24.666666666666668
2025-09-14,38,17,15,23.333333333333332
2025-09-21,42,17,15,24.666666666666668
2025-09-28,44,18,16,26.0
2025-10-05,55,23,20,32.666666666666664
2025-10-12,60,25,24,36.333333333333336
2025-10-19,48,18,18,28.0
2025-10-26,42,16,15,24.333333333333332
2025-11-02,51,20,19,30.0
2025-11-09,50,20,18,29.333333333333332
2025-11-16,81,30,29,46.666666666666664
2025-11-23,64,22,24,36.666666666666664
2025-11-30,61,21,24,35.333333333333336
2025-12-07,45,17,17,26.333333333333332
2025-12-14,46,18,17,27.0
2025-12-21,37,15,13,21.666666666666668
2025-12-28,35,14,12,20.333333333333332
2026-01-04,37,15,13,21.666666666666668
2026-01-11,35,15,13,21.0
2026-01-18,37,14,12,21.0
2026-01-25,44,19,16,26.333333333333332
2026-02-01,100,39,37,58.666666666666664
2026-02-08,67,22,23,37.333333333333336
2026-02-15,48,17,16,27.0
2026-02-22,53,20,18,30.333333333333332
2026-03-01,60,21,20,33.666666666666664
2026-03-08,47,18,17,27.333333333333332
2026-03-15,45,16,16,25.666666666666668
2026-03-22,41,15,15,23.666666666666668
2026-03-29,33,13,10,18.666666666666668
2026-04-05,33,13,10,18.666666666666668
