feature_set,model_type,n_features,threshold,n_trades,accuracy,precision,recall,f1,coverage
Tech Only,LightGBM,16,0.5,65,0.6,0.5333333333333333,0.5714285714285714,0.5517241379310345,1.0
Tech Only,LightGBM,16,0.52,36,0.5277777777777778,0.47058823529411764,0.5,0.48484848484848486,0.5538461538461539
Tech Only,LightGBM,16,0.55,10,0.7,0.625,1.0,0.7692307692307693,0.15384615384615385
Tech Only,LightGBM,16,0.58,4,0.75,0.75,1.0,0.8571428571428571,0.06153846153846154
Tech Only,LightGBM,16,0.6,0,0.0,,,0.0,
Tech Only,XGBoost,16,0.5,65,0.5538461538461539,0.4782608695652174,0.39285714285714285,0.43137254901960786,1.0
Tech Only,XGBoost,16,0.52,31,0.5483870967741935,0.5,0.5,0.5,0.47692307692307695
Tech Only,XGBoost,16,0.55,4,0.5,1.0,0.3333333333333333,0.5,0.06153846153846154
Tech Only,XGBoost,16,0.58,0,0.0,,,0.0,
Tech Only,XGBoost,16,0.6,0,0.0,,,0.0,
Tech + Sentiment,LightGBM,27,0.5,65,0.6,0.5333333333333333,0.5714285714285714,0.5517241379310345,1.0
Tech + Sentiment,LightGBM,27,0.52,36,0.5277777777777778,0.47058823529411764,0.5,0.48484848484848486,0.5538461538461539
Tech + Sentiment,LightGBM,27,0.55,10,0.7,0.625,1.0,0.7692307692307693,0.15384615384615385
Tech + Sentiment,LightGBM,27,0.58,4,0.75,0.75,1.0,0.8571428571428571,0.06153846153846154
Tech + Sentiment,LightGBM,27,0.6,0,0.0,,,0.0,
Tech + Sentiment,XGBoost,27,0.5,65,0.4461538461538462,0.36666666666666664,0.39285714285714285,0.3793103448275862,1.0
Tech + Sentiment,XGBoost,27,0.52,44,0.5,0.45454545454545453,0.5,0.47619047619047616,0.676923076923077
Tech + Sentiment,XGBoost,27,0.55,19,0.47368421052631576,0.4,0.5,0.4444444444444444,0.2923076923076923
Tech + Sentiment,XGBoost,27,0.58,8,0.5,0.5,0.75,0.6,0.12307692307692308
Tech + Sentiment,XGBoost,27,0.6,2,0.0,0.0,0.0,0.0,0.03076923076923077
Tech + All,LightGBM,33,0.5,65,0.5846153846153846,0.5172413793103449,0.5357142857142857,0.5263157894736842,1.0
Tech + All,LightGBM,33,0.52,44,0.5681818181818182,0.5,0.5263157894736842,0.5128205128205128,0.676923076923077
Tech + All,LightGBM,33,0.55,17,0.5882352941176471,0.5,0.7142857142857143,0.5882352941176471,0.26153846153846155
Tech + All,LightGBM,33,0.58,8,0.625,0.5714285714285714,1.0,0.7272727272727273,0.12307692307692308
Tech + All,LightGBM,33,0.6,3,0.6666666666666666,0.6666666666666666,1.0,0.8,0.046153846153846156
Tech + All,XGBoost,33,0.5,65,0.5846153846153846,0.52,0.4642857142857143,0.49056603773584906,1.0
Tech + All,XGBoost,33,0.52,0,0.0,,,0.0,
Tech + All,XGBoost,33,0.55,0,0.0,,,0.0,
Tech + All,XGBoost,33,0.58,0,0.0,,,0.0,
Tech + All,XGBoost,33,0.6,0,0.0,,,0.0,
