variant,model,n_features,rmse,dir_acc,backtest_return_pct,backtest_sharpe,backtest_max_dd
A0_tech_only,LightGBM,16,0.03341325661499885,0.4307692307692308,-4.621886570463296,-0.518439544836333,-13.278495543192035
A0_tech_only,XGBoost,16,0.03348203405633961,0.47692307692307695,6.004894188320686,1.0679561468616956,-9.333031752958432
A1_tech_plus_sentiment,LightGBM,27,0.03341325661499885,0.4307692307692308,-4.621886570463296,-0.518439544836333,-13.278495543192035
A1_tech_plus_sentiment,XGBoost,27,0.03359535192781375,0.5076923076923077,4.908878076059797,0.8987954344289755,-11.979388822194498
A2_tech_plus_trends,LightGBM,20,0.033810666389184355,0.4461538461538462,-7.076551607946002,-1.5916359402179037,-16.13024743100919
A2_tech_plus_trends,XGBoost,20,0.03288035883859359,0.4153846153846154,-5.245947528776529,-2.1912557176939105,-6.6305186851562805
A3_tech_plus_fgi,LightGBM,18,0.03347560048276833,0.4153846153846154,-7.778555693708478,-1.4130812794839573,-14.030882422951732
A3_tech_plus_fgi,XGBoost,18,0.03323318469568039,0.4307692307692308,-4.621886570463296,-0.518439544836333,-13.278495543192035
A4_tech_plus_all,LightGBM,33,0.03429021340228855,0.4307692307692308,-7.135218206105276,-1.6079591320778974,-14.030882422951832
A4_tech_plus_all,XGBoost,33,0.033257517471779796,0.38461538461538464,-5.33120095665951,-1.4788355291253124,-9.126493760933654
TwoStage,LightGBM,27,0.02520633321765456,0.5,0.8828341164557552,0.5121602170609199,-2.8103717567836584
TwoStage,XGBoost,27,0.02503105187949702,0.52,1.8428446227660045,0.9921953125277967,-1.8855061437688951
